Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PH,PH_CALON,PH_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/06,KAMPUNG JAWA,KOLEJ ISLAM SULTAN ALAM SHAH KLANG,1,134,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,88,UMNO,LOKMAN NOOR BIN ADAM,44,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,132,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/06,KAMPUNG JAWA,KOLEJ ISLAM SULTAN ALAM SHAH KLANG,2,162,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,107,UMNO,LOKMAN NOOR BIN ADAM,48,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,157,5,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/06,KAMPUNG JAWA,KOLEJ ISLAM SULTAN ALAM SHAH KLANG,3,251,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,175,UMNO,LOKMAN NOOR BIN ADAM,71,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,247,4,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/06,KAMPUNG JAWA,KOLEJ ISLAM SULTAN ALAM SHAH KLANG,4,242,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,181,UMNO,LOKMAN NOOR BIN ADAM,59,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,242,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/06,KAMPUNG JAWA,KOLEJ ISLAM SULTAN ALAM SHAH KLANG,5,201,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,148,UMNO,LOKMAN NOOR BIN ADAM,51,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,199,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/06,KAMPUNG JAWA,KOLEJ ISLAM SULTAN ALAM SHAH KLANG,6,187,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,124,UMNO,LOKMAN NOOR BIN ADAM,60,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,185,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/06,KAMPUNG JAWA,KOLEJ ISLAM SULTAN ALAM SHAH KLANG,7,174,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,113,UMNO,LOKMAN NOOR BIN ADAM,61,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,174,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/06,KAMPUNG JAWA,KOLEJ ISLAM SULTAN ALAM SHAH KLANG,8,190,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,116,UMNO,LOKMAN NOOR BIN ADAM,73,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,189,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/07,KOTA RAJA,SEKOLAH AGAMA MENENGAH TINGGI SULTAN HISAMUDDIN,1,176,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,101,UMNO,LOKMAN NOOR BIN ADAM,66,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,167,9,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/07,KOTA RAJA,SEKOLAH AGAMA MENENGAH TINGGI SULTAN HISAMUDDIN,2,163,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,87,UMNO,LOKMAN NOOR BIN ADAM,76,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,163,0,0
