TINDAK SEQUENCE NUMBER,NEGERI,JENIS UNDI,KOD PARLIMEN,NAMA PARLIMEN,KOD DUN,NAMA DUN,KOD DM,NAMA DAERAH MENGUNDI,NAMA PUSAT MENGUNDI,NOMBOR TEMPAT MENGUNDI,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),BN,BN_CALON,BN_UNDI,PH,PH_CALON,PH_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,LAIN2,LAIN2_CALON,LAIN2_UNDI,LAIN3,LAIN3_CALON,LAIN3_UNDI,LAIN4_UNDI,LAIN4_CALON,LAIN4_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
36,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/08,BANDAR PEKAN NENAS BARAT,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD YUNOS SULAIMAN,2,247,MCA,WEE JECK SENG,142,PPBM,HAJI KARMAINE BIN  SARDINI,63,GERAKAN,WENDY SUBRAMANIAM,31,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,238,9,0
37,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/08,BANDAR PEKAN NENAS BARAT,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD YUNOS SULAIMAN,3,319,MCA,WEE JECK SENG,154,PPBM,HAJI KARMAINE BIN  SARDINI,112,GERAKAN,WENDY SUBRAMANIAM,47,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,315,4,0
38,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/08,BANDAR PEKAN NENAS BARAT,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD YUNOS SULAIMAN,4,388,MCA,WEE JECK SENG,180,PPBM,HAJI KARMAINE BIN  SARDINI,160,GERAKAN,WENDY SUBRAMANIAM,46,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,387,1,0
39,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/08,BANDAR PEKAN NENAS BARAT,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD YUNOS SULAIMAN,5,393,MCA,WEE JECK SENG,200,PPBM,HAJI KARMAINE BIN  SARDINI,146,GERAKAN,WENDY SUBRAMANIAM,41,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,391,2,0
40,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,1,222,MCA,WEE JECK SENG,128,PPBM,HAJI KARMAINE BIN  SARDINI,52,GERAKAN,WENDY SUBRAMANIAM,28,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,211,10,1
41,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,2,274,MCA,WEE JECK SENG,143,PPBM,HAJI KARMAINE BIN  SARDINI,93,GERAKAN,WENDY SUBRAMANIAM,31,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,270,4,0
42,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,3,334,MCA,WEE JECK SENG,182,PPBM,HAJI KARMAINE BIN  SARDINI,90,GERAKAN,WENDY SUBRAMANIAM,50,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,5,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,328,6,0
43,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,4,314,MCA,WEE JECK SENG,156,PPBM,HAJI KARMAINE BIN  SARDINI,104,GERAKAN,WENDY SUBRAMANIAM,41,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,309,5,0
44,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,5,309,MCA,WEE JECK SENG,145,PPBM,HAJI KARMAINE BIN  SARDINI,123,GERAKAN,WENDY SUBRAMANIAM,37,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,308,1,0
45,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,6,374,MCA,WEE JECK SENG,197,PPBM,HAJI KARMAINE BIN  SARDINI,143,GERAKAN,WENDY SUBRAMANIAM,28,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,372,2,0
46,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,7,351,MCA,WEE JECK SENG,204,PPBM,HAJI KARMAINE BIN  SARDINI,111,GERAKAN,WENDY SUBRAMANIAM,27,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,349,2,0
47,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,1,230,MCA,WEE JECK SENG,148,PPBM,HAJI KARMAINE BIN  SARDINI,51,GERAKAN,WENDY SUBRAMANIAM,22,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,223,7,0
