TINDAK SEQUENCE NUMBER,NEGERI,JENIS UNDI,KOD PARLIMEN,NAMA PARLIMEN,KOD DUN,NAMA DUN,KOD DM,NAMA DAERAH MENGUNDI,NAMA PUSAT MENGUNDI,NOMBOR TEMPAT MENGUNDI,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),BN,BN_CALON,BN_UNDI,PH,PH_CALON,PH_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,LAIN2,LAIN2_CALON,LAIN2_UNDI,LAIN3,LAIN3_CALON,LAIN3_UNDI,LAIN4_UNDI,LAIN4_CALON,LAIN4_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
99,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/09,TELOK KERANG,SEKOLAH KEBANGSAAN TELOK KERANG,3,314,MCA,WEE JECK SENG,221,PPBM,HAJI KARMAINE BIN  SARDINI,80,GERAKAN,WENDY SUBRAMANIAM,4,BERJASA,DATO' DR  BADHRULHISHAM,7,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,313,1,0
100,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/09,TELOK KERANG,SEKOLAH KEBANGSAAN TELOK KERANG,4,328,MCA,WEE JECK SENG,205,PPBM,HAJI KARMAINE BIN  SARDINI,104,GERAKAN,WENDY SUBRAMANIAM,2,BERJASA,DATO' DR  BADHRULHISHAM,12,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,324,4,0
101,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/09,TELOK KERANG,SEKOLAH KEBANGSAAN TELOK KERANG,5,332,MCA,WEE JECK SENG,194,PPBM,HAJI KARMAINE BIN  SARDINI,108,GERAKAN,WENDY SUBRAMANIAM,4,BERJASA,DATO' DR  BADHRULHISHAM,23,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,330,2,0
102,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/10,PENEROK,SEKOLAH KEBANGSAAN PENEROK,1,219,MCA,WEE JECK SENG,152,PPBM,HAJI KARMAINE BIN  SARDINI,47,GERAKAN,WENDY SUBRAMANIAM,12,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,3,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,215,4,0
103,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/10,PENEROK,SEKOLAH KEBANGSAAN PENEROK,2,282,MCA,WEE JECK SENG,197,PPBM,HAJI KARMAINE BIN  SARDINI,50,GERAKAN,WENDY SUBRAMANIAM,11,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,266,16,0
104,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/10,PENEROK,SEKOLAH KEBANGSAAN PENEROK,3,360,MCA,WEE JECK SENG,239,PPBM,HAJI KARMAINE BIN  SARDINI,99,GERAKAN,WENDY SUBRAMANIAM,7,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,6,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,357,3,0
105,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/10,PENEROK,SEKOLAH KEBANGSAAN PENEROK,4,354,MCA,WEE JECK SENG,243,PPBM,HAJI KARMAINE BIN  SARDINI,89,GERAKAN,WENDY SUBRAMANIAM,6,BERJASA,DATO' DR  BADHRULHISHAM,8,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,348,4,2
106,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/10,PENEROK,SEKOLAH KEBANGSAAN PENEROK,5,404,MCA,WEE JECK SENG,319,PPBM,HAJI KARMAINE BIN  SARDINI,66,GERAKAN,WENDY SUBRAMANIAM,2,BERJASA,DATO' DR  BADHRULHISHAM,10,BEBAS - KUNCI,DR. ANG CHUAN LOCK,5,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,402,2,0
107,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/11,SUNGAI BOH,SEKOLAH KEBANGSAAN SUNGAI BOH,1,280,MCA,WEE JECK SENG,224,PPBM,HAJI KARMAINE BIN  SARDINI,41,GERAKAN,WENDY SUBRAMANIAM,4,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,273,7,0
108,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/11,SUNGAI BOH,SEKOLAH KEBANGSAAN SUNGAI BOH,2,318,MCA,WEE JECK SENG,248,PPBM,HAJI KARMAINE BIN  SARDINI,61,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,9,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,318,0,0
109,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/12,BANDAR PERMAS KECHIL,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHIAO,1,212,MCA,WEE JECK SENG,131,PPBM,HAJI KARMAINE BIN  SARDINI,47,GERAKAN,WENDY SUBRAMANIAM,10,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,196,16,0
110,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/12,BANDAR PERMAS KECHIL,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHIAO,2,230,MCA,WEE JECK SENG,150,PPBM,HAJI KARMAINE BIN  SARDINI,66,GERAKAN,WENDY SUBRAMANIAM,9,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,229,1,0
111,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/13,PERMAS KECHIL,SEKOLAH MENENGAH KEBANGSAAN SRI KUKUP,1,200,MCA,WEE JECK SENG,145,PPBM,HAJI KARMAINE BIN  SARDINI,37,GERAKAN,WENDY SUBRAMANIAM,13,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,198,2,0
112,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/13,PERMAS KECHIL,SEKOLAH MENENGAH KEBANGSAAN SRI KUKUP,2,286,MCA,WEE JECK SENG,186,PPBM,HAJI KARMAINE BIN  SARDINI,68,GERAKAN,WENDY SUBRAMANIAM,19,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,3,280,6,0
113,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/13,PERMAS KECHIL,SEKOLAH MENENGAH KEBANGSAAN SRI KUKUP,3,361,MCA,WEE JECK SENG,254,PPBM,HAJI KARMAINE BIN  SARDINI,83,GERAKAN,WENDY SUBRAMANIAM,12,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,352,9,0
114,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/13,PERMAS KECHIL,SEKOLAH MENENGAH KEBANGSAAN SRI KUKUP,4,323,MCA,WEE JECK SENG,201,PPBM,HAJI KARMAINE BIN  SARDINI,98,GERAKAN,WENDY SUBRAMANIAM,12,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,318,5,0
115,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/13,PERMAS KECHIL,SEKOLAH MENENGAH KEBANGSAAN SRI KUKUP,5,312,MCA,WEE JECK SENG,198,PPBM,HAJI KARMAINE BIN  SARDINI,100,GERAKAN,WENDY SUBRAMANIAM,6,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,310,2,0
116,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/13,PERMAS KECHIL,SEKOLAH MENENGAH KEBANGSAAN SRI KUKUP,6,340,MCA,WEE JECK SENG,228,PPBM,HAJI KARMAINE BIN  SARDINI,101,GERAKAN,WENDY SUBRAMANIAM,4,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,3,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,339,1,0
117,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/14,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI DURIAN,1,259,MCA,WEE JECK SENG,206,PPBM,HAJI KARMAINE BIN  SARDINI,28,GERAKAN,WENDY SUBRAMANIAM,13,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,3,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,253,6,0
118,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/14,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI DURIAN,2,300,MCA,WEE JECK SENG,231,PPBM,HAJI KARMAINE BIN  SARDINI,55,GERAKAN,WENDY SUBRAMANIAM,4,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,298,2,0
119,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/14,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI DURIAN,3,365,MCA,WEE JECK SENG,269,PPBM,HAJI KARMAINE BIN  SARDINI,84,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,361,4,0
120,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/14,SUNGAI DURIAN,SEKOLAH KEBANGSAAN SUNGAI DURIAN,4,363,MCA,WEE JECK SENG,288,PPBM,HAJI KARMAINE BIN  SARDINI,60,GERAKAN,WENDY SUBRAMANIAM,2,BERJASA,DATO' DR  BADHRULHISHAM,12,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,363,0,0
121,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/15,SERKAT,SEKOLAH KEBANGSAAN SERKAT,1,237,MCA,WEE JECK SENG,188,PPBM,HAJI KARMAINE BIN  SARDINI,35,GERAKAN,WENDY SUBRAMANIAM,4,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,233,4,0
122,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/15,SERKAT,SEKOLAH KEBANGSAAN SERKAT,2,293,MCA,WEE JECK SENG,192,PPBM,HAJI KARMAINE BIN  SARDINI,67,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,8,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,270,23,0
123,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/15,SERKAT,SEKOLAH KEBANGSAAN SERKAT,3,357,MCA,WEE JECK SENG,264,PPBM,HAJI KARMAINE BIN  SARDINI,79,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,10,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,353,4,0
124,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/15,SERKAT,SEKOLAH KEBANGSAAN SERKAT,4,391,MCA,WEE JECK SENG,300,PPBM,HAJI KARMAINE BIN  SARDINI,72,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,16,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,388,3,0
125,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/16,ANDEK MORI,SEKOLAH KEBANGSAAN ANDEK MORI,1,230,MCA,WEE JECK SENG,158,PPBM,HAJI KARMAINE BIN  SARDINI,57,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,3,225,5,0
126,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/16,ANDEK MORI,SEKOLAH KEBANGSAAN ANDEK MORI,2,253,MCA,WEE JECK SENG,191,PPBM,HAJI KARMAINE BIN  SARDINI,58,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,252,1,0
127,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/16,ANDEK MORI,SEKOLAH KEBANGSAAN ANDEK MORI,3,356,MCA,WEE JECK SENG,245,PPBM,HAJI KARMAINE BIN  SARDINI,100,GERAKAN,WENDY SUBRAMANIAM,4,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,353,3,0
128,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/16,ANDEK MORI,SEKOLAH KEBANGSAAN ANDEK MORI,4,355,MCA,WEE JECK SENG,278,PPBM,HAJI KARMAINE BIN  SARDINI,60,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,9,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,349,6,0
